stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,,key_resp,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.057112,,0.0443937,0.057112,0.5749504,0.5749504,0.5872634,0.8802909,8.7201378,right,10,,1,1,8.1402513,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
1,2,8,8.7312002,,8.7202873,8.7312002,9.2248702,9.2248702,9.2320279,9.5303993,9.9617515,left,-8,TRUE,1,1,0.7233447,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
2,1,6,9.9676331,,9.9618947,9.9676331,10.4612261,10.4612261,10.4679798,,10.5319083,right,6,,0,0,0.0680794,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
3,1,7,10.5432612,,10.5320403,10.5432612,11.0429104,11.0429104,11.0514345,,11.1847084,right,7,FALSE,1,1,0.1368221,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
4,1,7,11.1959413,,11.1848586,11.1959413,11.6901675,11.6901675,11.6969973,,11.706049,left,-7,,0,0,0.0137758,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
5,1,8,11.7174602,,11.7061902,11.7174602,12.2108074,12.2108074,12.2177179,,12.310018,right,8,,0,0,0.0948826,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
6,1,9,12.321271,,12.3101514,12.321271,12.8148533,12.8148533,12.8219405,,12.8232636,left,-9,TRUE,1,1,0.0057443,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
7,1,9,12.8347255,,12.8234371,12.8347255,13.3293856,13.3293856,13.3356157,,13.357234,right,9,,0,0,0.0175801,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
8,1,10,13.3636375,,13.3573888,13.3636375,13.8569553,13.8569553,13.8636703,14.1624035,15.3725372,left,-10,TRUE,0,0,1.5109498,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
9,1,11,15.3830876,,15.3726848,15.3830876,15.8773881,15.8773881,15.8846862,,16.0053028,left,-11,,0,0,0.1252972,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
10,1,12,16.0154302,,16.0054245,16.0154302,16.5090713,16.5090713,16.5159777,16.8142301,17.2821308,right,12,,1,1,0.7676477,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
11,1,12,17.2933487,,17.2822694,17.2933487,17.7872194,17.7872194,17.7942755,,17.8515869,left,-12,TRUE,0,0,0.0608136,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
12,1,13,17.8627194,,17.8517282,17.8627194,18.3561355,18.3561355,18.3632843,18.6622444,18.7123356,right,13,,0,0,0.3525799,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
13,1,14,18.723717,,18.71247,18.723717,19.2174746,19.2174746,19.2241242,,19.2251733,right,14,,0,0,0.0064128,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
14,1,15,19.2311035,,19.2252575,19.2311035,19.7244467,19.7244467,19.7316478,20.0301891,20.0737655,left,-15,TRUE,0,0,0.3462048,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
15,1,16,20.0848551,,20.0739089,20.0848551,20.5771981,20.5771981,20.5841804,20.8772591,22.8860831,left,-16,,0,0,2.3058812,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
16,1,17,22.8973905,,22.8862467,22.8973905,23.3912675,23.3912675,23.398296,,23.4476111,right,17,,1,1,0.0494889,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
17,1,17,23.4534378,,23.4477301,23.4534378,23.9535111,23.9535111,23.9535111,,24.058814,left,-17,TRUE,0,0,0.1034762,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
18,1,18,24.0643879,,24.0589289,24.0643879,24.5635352,24.5635352,24.5635352,,24.8242084,right,18,,0,0,0.2581147,663516,1,2023-09-04_18h41.57.257,adaptive_staircase,2023.2.1,136.4146679,2023-09-04 18h42.01.617390 +0530
